,Unnamed: 0,Unnamed: 0.1,ID,Title,Type,Number of Scanlation group,Awarded,Japanese publihsers,Oneshot,Scan start day,Scan latest day,Digitally published first by publisher,Simulus translate,Publish status,Completely scanlated,Artist,Publish year,Licensed,name of English publisher,English publishing status,Anime,Rating,Vote number,Action,Adult,Adventure,Comedy,Doujinshi,Drama,Ecchi,Fantasy,Gender Bender,Harem,Hentai,Historical,Horror,Josei,Lolicon,Martial Arts,Mature,Mecha,Mystery,Psychological,Romance,School Life,Sci-fi,Seinen,Shotacon,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Smut,Sports,Supernatural,Tragedy,Yaoi,Yuri
0,0,,152228,Rengoku no Millennium,Manga,0,False,Junet,False,Pass,Pass,False,False,Complete,No,HAIZAKI Mejiro,2018,Yes,Renta!,,False,8,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,,146556,Rennai Lesson no Jikan Desu,Manga,0,False,Amu Comi,False,Pass,Pass,False,False,Complete,No,EMOTO Haru,2013,Yes,Amu Comi,4 Volumes - Complete,False,Not rated,Not rated,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,0,,107339,Rensou,Manga,0,False,Otome's Way,False,Pass,Pass,False,False,Ongoing,No,YUSURA Ai,2013,Yes,"Digital Manga Guild, Otome's Way",,False,Not rated,Not rated,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,0,,148107,Rent Boy,Manhwa,1,False,Lezhin,False,03/28/18,03/28/18,False,False,Complete,No,Studio Stellas,2018,Yes,Lezhin,,False,7.6,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,0,,157133,Rental Girls,Manhwa,0,False,Lezhin,False,Pass,Pass,False,False,Unknown,No,,2018,Yes,Lezhin,,False,6.1,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,0,,154960,Rental Kareshi no Do S na Ura Option,Manga,0,False,Screamo,False,Pass,Pass,False,False,Complete,No,Karin (香琳),2015,Yes,Renta!,,False,4.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,,133308,Rental Wife no Nichijou,Manga,0,False,,True,Pass,Pass,False,False,Complete,No,Marudasshu,2013,Yes,Renta!,,False,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,,132022,Rentaru danshi. Com,Manga,0,False,futurecomics,True,Pass,Pass,False,False,Complete,No,SAHARU Yorito,2012,Yes,Renta!,,False,Not rated,Not rated,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,0,,137673,Renzu-Sou no Sankaku,Manga,0,False,Kodansha,False,Pass,Pass,False,False,Complete,Yes,NOGIRI Youko,2016,Yes,Kodansha USA,3 Vols - Complete,False,7.2,42,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,0,,153264,Reo to Mabu,Manga,1,False,Gentosha,False,04/02/19,07/12/19,False,False,Complete,Yes,"Miggy, SAITOU Misaki",2018,Yes,Seven Seas,1 Vol - Complete,False,6.9,27,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
