,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,ID,Title,Type,Number of Scanlation group,Awarded,Japanese publihsers,Oneshot,Scan start day,Scan latest day,Digitally published first by publisher,Simulus translate,Publish status,Completely scanlated,Artist,Publish year,Licensed,name of English publisher,English publishing status,Anime,Rating,Vote number,Action,Adult,Adventure,Comedy,Doujinshi,Drama,Ecchi,Fantasy,Gender Bender,Harem,Hentai,Historical,Horror,Josei,Lolicon,Martial Arts,Mature,Mecha,Mystery,Psychological,Romance,School Life,Sci-fi,Seinen,Shotacon,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Smut,Sports,Supernatural,Tragedy,Yaoi,Yuri,Year published in English
53,1068,0,0,,82388,Black Bullet,Manga,4,False,ASCII Media Works,False,03/12/13,06/20/16,False,False,Complete,Yes,MORINO Hon,2012.0,Yes,Yen Press,4 Vols - Complete,True,8,170,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2015
54,1080,12,0,,1447,Black Lagoon,Manga,17,False,Shogakukan,False,11/18/07,06/23/20,False,False,Ongoing,No,HIROE Rei,2002.0,Yes,Viz,11 Vols - Ongoing,True,8.6,724,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2008
55,1093,0,0,,35363,Blame Gakuen! and So On,Manga,6,False,Kodansha,False,03/26/04,07/04/10,False,False,Complete,Yes,NIHEI Tsutomu,2008.0,Yes,Kodansha Comics,1 Volume - Complete; Digital,False,6.7,152,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2017
56,1094,1,0,,887,Blame!,Manga,3,False,Kodansha,False,05/18/03,05/31/16,False,False,Complete,Yes,NIHEI Tsutomu,1997.0,Yes,"Kodansha USA, TokyoPop, Vertical","6 Omnibus Volumes - Complete; Digital, Expired / 10 Volumes - Complete, 6 Omnibus Volumes - Complete; Print",False,8.3,876,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2016
57,1101,8,0,,2994,Blood Alone,Manga,7,False,"Kodansha, Media Works",False,06/01/07,10/22/19,False,False,Ongoing,No,TAKANO Masayuki,2005.0,Yes,"Infinity Studios, Seven Seas","Defunct / 4 Vols, Canceled / 6 Vols",False,8.5,831,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2011
58,1104,11,0,,46686,Blood Lad,Manga,8,False,Kadokawa Shoten,False,07/12/12,06/30/20,False,False,Complete,No,KODAMA Yuuki,2009.0,Yes,Yen Press,17 Vols - Completes; Digital | 9 2-in-1 OMNB - Complete; Print,True,8,610,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2012
59,1128,10,0,,97032,BLUE GIANT,Manga,2,True,Shogakukan,False,07/06/19,06/13/20,False,False,Complete,No,ISHIZUKA Shinichi,2013.0,Yes,Seven Seas,Oct 2020,False,8.9,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2020
60,1130,12,0,,143526,Blue Period.,Manga,1,True,Kodansha,False,02/10/19,06/01/20,False,False,Ongoing,No,YAMAGUCHI Tsubasa,2017.0,Yes,Kodansha USA,Fall 2020,False,8.8,60,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2020
61,1144,1,0,,78396,Boku Dake ga Inai Machi,Manga,8,True,Kadokawa Shoten,False,03/04/14,12/01/16,False,False,Complete,Yes,SANBE Kei,2012.0,Yes,Yen Press,9 Vols - Complete,True,8.6,704,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2017
62,1155,12,0,,143855,Boku no Heya ga Dungeon no Kyuukeijo ni Natteshimatta Ken,Manga,3,False,Takeshobo,False,07/18/17,07/18/20,False,False,Ongoing,No,TAKOYAKI Yoshi,2017.0,Yes,Seven Seas,2 Vols - Ongoing,False,6.6,81,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2020
63,1185,17,0,,52889,Boku wa Tomodachi ga Sukunai,Manga,2,False,Media Factory,False,06/21/10,10/01/14,False,False,Ongoing,No,Itachi,2010.0,Yes,Seven Seas,18 Vols - Ongoing,True,8.2,542,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2012
64,1186,18,0,,84025,Boku wa Tomodachi ga Sukunai - Haganai Hiyori,Manga,1,False,Media Factory,False,10/15/12,05/07/14,False,False,Complete,Yes,bomi,2012.0,Yes,Seven Seas,1 Volume - Complete,False,7.7,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2014
65,1187,19,0,,71333,Boku wa Tomodachi ga Sukunai Shobon!,Manga,1,False,Media Factory,False,05/06/12,09/21/12,False,False,Complete,Yes,Shirabi,2011.0,Yes,Seven Seas,1 Volume - Complete,False,7.7,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2014
66,1202,9,0,,227,Bokurano,Manga,2,True,Shogakukan,False,02/03/06,06/26/09,False,False,Complete,Yes,KITOH Mohiro,2003.0,Yes,Viz,11 Vols - Complete,True,8.3,671,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2010
