,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,ID,Title,Type,Number of Scanlation group,Awarded,Japanese publihsers,Oneshot,Scan start day,Scan latest day,Digitally published first by publisher,Simulus translate,Publish status,Completely scanlated,Artist,Publish year,Licensed,name of English publisher,English publishing status,Anime,Rating,Vote number,Action,Adult,Adventure,Comedy,Doujinshi,Drama,Ecchi,Fantasy,Gender Bender,Harem,Hentai,Historical,Horror,Josei,Lolicon,Martial Arts,Mature,Mecha,Mystery,Psychological,Romance,School Life,Sci-fi,Seinen,Shotacon,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Smut,Sports,Supernatural,Tragedy,Yaoi,Yuri
2536,14,0,,153835,Futari no Taisei,Manga,2,False,Shueisha,False,06/02/19,Pass,True,True,Complete,Yes,FUKUDA Kentarou,2019,Yes,"MANGA Plus, Viz",,False,5.1,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2545,23,0,,119782,Futsutsuka Mono no Ani Desu ga,Manga,0,False,Kodansha,False,Pass,Pass,False,False,Complete,Yes,HIGURASHI Kinoko,2015,Yes,Kodansha Comics,6 Volumes - Complete; Digital,False,7.8,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2552,12,0,,108334,Fuuka,Manga,3,False,Kodansha,False,04/29/14,Pass,False,True,Complete,Yes,SEO Kouji,2014.0,Yes,Kodansha USA,20 Vols - Complete; digital,True,6.3,431,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2553,13,0,,16676,Fuwa Fuwa Cinnamon,Manga,0,False,Shogakukan,False,Pass,Pass,False,False,Complete,No,SEKI Chisato,2005.0,Yes,Viz,5 Volumes - Complete,False,Not rated,Not rated,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2560,20,0,,20573,GA - Geijutsuka Art Design Class,Manga,1,False,Houbunsha,False,07/16/09,07/16/09,False,False,Complete,Yes,KIYUZUKI Satoko,2006.0,Yes,Yen Press,7 Vols - Complete,True,7.9,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2562,22,0,,12165,Gaba Kawa,Manga,2,False,Shogakukan,False,10/13/07,04/29/08,False,False,Complete,Yes,TAKADA Rie,2006.0,Yes,Viz,Complete,False,6.9,244,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2563,23,0,,107073,Gabriel Dropout,Manga,2,False,ASCII Media Works,False,08/08/16,06/02/19,False,False,Ongoing,No,Ukami,2014.0,Yes,Yen Press,8 Vols - Ongoing,True,8,52,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
2565,0,0,,4220,Gaioodo,Manga,0,False,Kadokawa Shoten,False,Pass,Pass,False,False,Complete,Yes,AKIYAMA Tamayo,2000.0,Yes,Viz,1 Volume - Complete; Digital,False,6.2,6,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2569,4,0,,78105,Gakkou Gurashi!,Manga,6,False,Houbunsha,False,01/25/14,12/06/19,False,False,Complete,Yes,CHIBA Sadoru,2012.0,Yes,Yen Press,11 Vols - Ongoing,True,8.1,208,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
2570,5,0,,116843,Gakkyuu Houtei,Manga,2,False,Shueisha,False,11/30/14,04/09/15,False,False,Complete,Yes,OBATA Takeshi,2014.0,Yes,Viz,3 Volumes - Complete,False,6.5,46,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
