,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,ID,Title,Type,Number of Scanlation group,Awarded,Japanese publihsers,Oneshot,Scan start day,Scan latest day,Digitally published first by publisher,Simulus translate,Publish status,Completely scanlated,Artist,Publish year,Licensed,name of English publisher,English publishing status,Anime,Rating,Vote number,Action,Adult,Adventure,Comedy,Doujinshi,Drama,Ecchi,Fantasy,Gender Bender,Harem,Hentai,Historical,Horror,Josei,Lolicon,Martial Arts,Mature,Mecha,Mystery,Psychological,Romance,School Life,Sci-fi,Seinen,Shotacon,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Smut,Sports,Supernatural,Tragedy,Yaoi,Yuri,Year published in English
46,5691,15,0,,70029,Majo no Biyaku,Manga,2,False,Shogakukan,False,11/05/11,04/26/15,False,False,Complete,Yes,OOMI Tomu,2011,Yes,Viz,5 Volumes - Complete,False,8.1,101,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2014
47,5707,6,0,,48477,Makai Ouji - Devils and Realist,Manga,6,False,Ichijinsha,False,08/17/12,03/04/18,False,False,Complete,Yes,YUKIHIRO Utako,2009.0,Yes,Seven Seas,15 Volumes - Complete,True,8.3,198,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014
48,5712,11,0,,146789,Make wa Tada no Mahou janai no Beginners,Manga,0,False,Kodansha,False,Pass,Pass,False,False,Complete,Yes,ROTTA Ikumi,2018.0,Yes,Seven Seas,1 Volume - Complete; Digital,False,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020
49,5880,23,0,,151270,Meiken Keru-chan,Manga,0,False,Kodansha,False,Pass,Pass,False,False,Ongoing,No,Arimura Moha,2018.0,Yes,Kodansha Comics,1 Volume - Ongoing,False,Not rated,Not rated,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2018
50,5888,6,0,,151183,Mejirobana no Saku,Manga,0,False,Hakusensha,False,Pass,Pass,False,False,Ongoing,No,NAKAMURA Asumiko,2017.0,Yes,Seven Seas,January 2021,False,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2021
51,5941,9,0,,7090,Midnight Secretary,Manga,2,False,Shogakukan,False,02/04/08,06/28/09,False,False,Complete,Yes,OHMI Tomu,2006.0,Yes,Viz,7 Volumes - complete,False,8.1,1772,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2013
52,6070,13,0,,18906,Mizu ga Kooru ni Naru Toki,Manga,0,False,Shogakukan,False,Pass,Pass,False,False,Complete,No,NISHI Keiko,1990,Yes,Viz,published w/Four Shojo Stories,False,Not rated,Not rated,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1996
53,6174,17,0,,147743,Motokare Mania,Manga,0,False,Kodansha,False,Pass,Pass,False,False,Ongoing,No,TAKINAMI Yukari,2017,Yes,Kodansha USA,4 Vols - Ongoing; digital,False,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019
54,6277,20,0,,159288,My Broken Mariko,Manga,1,False,Kadokawa,False,01/08/20,01/26/20,False,False,Complete,Yes,HIRAKO Waka,2019.0,Yes,Yen Press,October 2020,False,8.1,28,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020
55,6356,24,0,,155432,Nagabe Tanhenshuu - Hentekona ai,Manga,0,False,Ichijinsha,False,Pass,Pass,False,False,Complete,No,Nagabe,2019.0,Yes,Seven Seas,1 Vol - Complete,False,7.8,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2020
56,6483,2,0,,112631,Nemurime Hime,Manga,0,False,Hakusensha,False,Pass,Pass,False,False,Complete,Yes,UNITA Yumi,2014.0,Yes,Seven Seas,2 Vols - Complete,False,5.2,5,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2017
57,6529,23,0,,87998,Nigeru wa Haji da ga Yaku ni Tatsu,Manga,0,True,Kodansha,False,Pass,Pass,False,False,Complete,No,UMINO Tsunami,2012,Yes,Kodansha Comics,9 Volumes; Digital,False,8.7,44,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017
58,6617,11,0,,791,Nodame Cantabile,Manga,10,True,Kodansha,False,06/15/07,07/04/20,False,False,Complete,Yes,NINOMIYA Tomoko,2001.0,Yes,"Del Rey, Kodansha USA","Defunct / 16 Vols, 25 Vols - Complete; digital",True,8.7,1414,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
59,6800,19,0,,35602,Olimpos,Manga,1,False,Ichijinsha,False,04/12/09,06/06/10,False,False,Complete,Yes,Aki (あき),2007,Yes,Yen Press,1 Vol - Complete,False,8,336,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015
60,7060,3,0,,142479,Otome Game no Hametsu Flag shika nai Akuyaku Reijou ni Tensei shite shimatta...,Manga,3,False,Ichijinsha,False,02/13/18,07/25/20,False,False,Ongoing,No,HIDAKA Nami,2017.0,Yes,Seven Seas,3 Vols - Ongoing,True,8.5,212,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019
61,7074,17,0,,153510,Otona ni natte mo (Shimura),Manga,1,False,Kodansha,False,06/04/19,12/30/19,False,False,Ongoing,No,SHIMURA Takako,2019.0,Yes,Seven Seas,Jan 2021,False,6.5,14,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2021
