,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Name,Active or not,Release Frequency,Number of Release,Total Series,First Update,Lastest Update,Action,Adult,Adventure,Comedy,Doujinshi,Drama,Ecchi,Fantasy,Gender Bender,Harem,Hentai,Historical,Horror,Josei,Lolicon,Martial Arts,Mature,Mecha,Mystery,Psychological,Romance,School Life,Sci-fi,Seinen,Shotacon,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Smut,Sports,Supernatural,Tragedy,Yaoi,Yuri
2753,2764,14,0,FTV Scans,No,Inactive Group,3,1,05/29/09,06/07/09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2754,2765,15,0,Fuan,No,Inactive Group,7,4,08/04/04,08/22/04,2,1,1,3,0,0,1,1,0,1,0,0,1,0,1,0,2,0,0,1,4,1,2,1,0,0,0,3,0,1,0,0,1,1,0,0
2755,2766,16,0,Fuck Off,No,Inactive Group,13,2,05/31/07,08/22/07,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2756,2767,17,0,Fuck yeah Readers!,No,Inactive Group,15,14,03/22/18,10/14/18,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,3,4,0,0,0,0,7,0
2757,2768,18,0,Fuck Yeah Yu-Gi-Oh Doujinshi,No,Inactive Group,12,11,05/11/11,06/10/11,0,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,2,0,0,0,3,0
2758,2769,19,0,Fuckface Translations,Yes,Occasionally. About every 21 day(s),12,1,02/20/20,07/19/20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
2759,2770,20,0,Fucking-Manga,No,Inactive Group,92,6,07/29/05,04/26/08,5,0,4,6,0,2,3,2,0,1,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,6,0,0,0,1,4,0,0,0
2760,2771,21,0,Fuckyeahtodobaku,No,Inactive Group,1,1,07/25/18,07/25/18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2761,2772,22,0,FUCS,No,Inactive Group,2,2,06/24/10,06/30/10,2,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,1,2,0,0
2762,2773,23,0,Fudan Scanlations,No,Inactive Group,1,1,02/24/11,02/24/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2763,2774,24,0,Fudge Translations,No,Inactive Group,58,2,06/02/15,11/13/16,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2764,2775,0,0,fudou,No,Inactive Group,3,1,07/18/13,09/20/13,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2765,2776,1,0,Fugacious Fella,Yes,Infrequently,60,27,08/27/17,03/14/20,0,0,0,5,0,6,0,1,0,0,0,0,0,2,0,0,1,0,0,3,9,3,0,1,0,3,0,0,0,8,0,0,0,0,5,0
2766,2777,2,0,Fuj0shi Heaven,No,Inactive Group,15,1,05/01/15,12/05/15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2767,2778,3,0,fujiappletan,No,Inactive Group,6,6,08/25/09,11/03/10,0,0,0,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0
2768,2779,4,0,fujibato,No,Inactive Group,1,1,05/15/08,05/15/08,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2769,2780,5,0,fujiryo4ever,No,Inactive Group,1,1,no date,Unknown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2770,2781,6,0,fujitsu,Yes,Infrequently,149,17,07/25/18,05/31/20,0,3,0,5,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12,1,1,0,0,0,0,0,4,2,1,0,3,0,10,0
2771,2782,7,0,fujiwara_san,No,Inactive Group,3,3,04/29/09,07/12/09,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2772,2783,8,0,Fujo Tetsurou,No,Inactive Group,2,1,05/10/18,05/11/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2773,2784,9,0,Fujoshi Affairs,No,Inactive Group,2,1,09/10/17,09/14/17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
